identifier	question
chapter-134	Who''s to doom, when the judge himself is dragged to the bar?
chapter-134	Why this strife of the chase?
chapter-134	bitter, biting mockery of grey hairs, have I lived enough joy to wear ye; and seem and feel thus intolerably old?
chapter-134	how the richer or better is Ahab now?
chapter-134	is it not hard, that with this weary load I bear, one poor leg should have been snatched from under me?
chapter-134	who put it into him to chase and fang that flying- fish?
chapter-134	why weary, and palsy the arm at the oar, and the iron, and the lance?
chapter-123	"Well, suppose I did?
chapter-123	And how long ago is it since you said the very contrary?
chapter-123	Do n''t you see, then, that for these extra risks the Marine Insurance companies have extra guarantees?
chapter-123	Do n''t you see, you timber- head, that no harm can come to the holder of the rod, unless the mast is first struck?
chapter-123	I say, just wring out my jacket skirts, will ye?
chapter-123	I''ve part changed my flesh since that time, why not my mind?
chapter-123	Stop, now; did n''t you say so?"
chapter-123	These are your iron fists, hey?
chapter-123	What are you talking about, then?
chapter-123	What then?
chapter-123	Why do n''t ye be sensible, Flask?
chapter-123	it''s easy to be sensible; why do n''t ye, then?
chapter-038	"And has he a curious spout,"too, said Daggoo,"very bushy, even for a parmacetty, and mighty quick, Captain Ahab?"
chapter-038	"And what do ye next, men?"
chapter-038	"And what tune is it ye pull to, men?"
chapter-038	"Captain Ahab, I have heard of Moby Dick-- but it was not Moby Dick that took off thy leg?"
chapter-038	"D''ye mark him, Flask?"
chapter-038	"Do ye know the white whale then, Tash?"
chapter-038	"Does he fan- tail a little curious, sir, before he goes down?"
chapter-038	"He smites his chest,"whispered Stubb,"what''s that for?
chapter-038	"Moby Dick?"
chapter-038	"Who told thee that?"
chapter-038	And what is it?
chapter-038	Are they not one and all with Ahab, in this matter of the whale?
chapter-038	But what''s this long face about, Mr. Starbuck; wilt thou not chase the white whale?
chapter-038	D''ye see it?
chapter-038	Disdain the task?
chapter-038	From this one poor hunt, then, the best lance out of all Nantucket, surely he will not hang back, when every foremast- hand has clutched a whetstone?
chapter-038	How can the prisoner reach outside except by thrusting through the wall?
chapter-038	How many barrels will thy vengeance yield thee even if thou gettest it, Captain Ahab?
chapter-038	Vehemently pausing, he cried:--"What do ye do when ye see a whale, men?"
chapter-038	What is it more?
chapter-038	What say ye, men, will ye splice hands on it, now?
chapter-038	What, when the great Pope washes the feet of beggars, using his tiara for ewer?
chapter-038	Who''s over me?
chapter-038	art not game for Moby Dick?"
chapter-038	boy, come back?
chapter-038	d''ye see this Spanish ounce of gold?"
chapter-038	know ye not the goblet end?
chapter-038	why stay ye not when ye come?
chapter-129	Art not thou the leg- maker?
chapter-129	But art thou not also the undertaker?
chapter-129	Do I sing?
chapter-129	Does it go further?
chapter-129	Dost thou never?
chapter-129	Dost thou spin thy own shroud out of thyself?
chapter-129	Faith, sir, I''ve---- Faith?
chapter-129	Hark ye, dost thou not ever sing working about a coffin?
chapter-129	Hast thou ever helped carry a bier, and heard the coffin knock against the churchyard gate, going in?
chapter-129	I believe it did, sir; does the ferrule stand, sir?
chapter-129	I was about to say, sir, that---- Art thou a silk- worm?
chapter-129	Look, did not this stump come from thy shop?
chapter-129	Sing, sir?
chapter-129	Sir?
chapter-129	The hatchway?
chapter-129	What things real are there, but imponderable thoughts?
chapter-129	What''s here?
chapter-129	What''s that?
chapter-129	Will ye never have done, Carpenter, with that accursed sound?
chapter-102	"And he took that arm off, did he?"
chapter-102	"Aye, he was the cause of it, at least; and that leg, too?"
chapter-102	"But could not fasten?"
chapter-102	"Did n''t want to try to: ai n''t one limb enough?
chapter-102	"Did''st thou cross his wake again?"
chapter-102	"Hast seen the White Whale?"
chapter-102	"See you this?"
chapter-102	"Spin me the yarn,"said Ahab;"how was it?"
chapter-102	"What became of the White Whale?"
chapter-102	"What''s the matter?
chapter-102	Hast seen the White Whale?"
chapter-102	He was heading east, I think.--Is your Captain crazy?"
chapter-102	How long since thou saw''st him last?
chapter-102	What should I do without this other arm?
chapter-102	Where did''st thou see the White Whale?--how long ago?"
chapter-102	Which way heading?"
chapter-102	Which way heading?"
chapter-102	was there ever such another Bunger in the watery world?
chapter-102	why do n''t ye?
chapter-083	"Hold on, hold on, wo n''t ye?"
chapter-083	"Knife?
chapter-083	"What has he in his hand there?"
chapter-083	"Who''s got some paregoric?"
chapter-083	And when?
chapter-083	Are ye going to let that rascal beat ye?
chapter-083	Come, why do n''t some of ye burst a blood- vessel?
chapter-083	Do n''t ye love sperm?
chapter-083	Do ye love brandy?
chapter-083	Is this the creature of whom it was once so triumphantly said--"Canst thou fill his skin with barbed irons?
chapter-083	It''s the first foul wind I ever knew to blow from astern; but look, did ever whale yaw so before?
chapter-083	Suspended?
chapter-083	The bank of England!--Oh, do, do, do!--What''s that Yarman about now?"
chapter-083	The short and long of it is, men, will ye spit fire or not?"
chapter-083	This the creature?
chapter-083	What d''ye say, Tashtego; are you the man to snap your spine in two- and- twenty pieces for the honor of old Gay- head?
chapter-083	What d''ye say?"
chapter-083	Who had darted that stone lance?
chapter-083	and to what?
chapter-083	or his head with fish- spears?
chapter-083	this he?
chapter-018	"And what dost thou want of Captain Ahab?
chapter-018	"Bildad,"cried Captain Peleg,"at it again, Bildad, eh?
chapter-018	"But what takes thee a- whaling?
chapter-018	"Captain Peleg,"said I,"I have a friend with me who wants to ship too-- shall I bring him down to- morrow?"
chapter-018	"Dost know nothing at all about whaling, I dare say-- eh?"
chapter-018	"Dost thee?"
chapter-018	"Has he ever whaled it any?"
chapter-018	"Is this the Captain of the Pequod?"
chapter-018	"Supposing it be the Captain of the Pequod, what dost thou want of him?"
chapter-018	"Thou wast, wast thou?
chapter-018	"Want to see what whaling is, eh?
chapter-018	"Well, what dost thou think then of seeing the world?
chapter-018	"Well, what''s the report?
chapter-018	"What do ye think of him,"Bildad?
chapter-018	"What do you mean, sir?
chapter-018	"What lay does he want?"
chapter-018	"Who is Captain Ahab, sir?"
chapter-018	Ca n''t ye see the world where you stand?"
chapter-018	Do ye wish to go round Cape Horn to see any more of it, eh?
chapter-018	Have ye clapped eye on Captain Ahab?"
chapter-018	How far ye got, Bildad?"
chapter-018	I have given thee a hint about what whaling is; do ye yet feel inclined for it?"
chapter-018	I see thou are no Nantucketer-- ever been in a stove boat?"
chapter-018	Now then, my young man, Ishmael''s thy name, did n''t ye say?
chapter-018	Now then, thou not only wantest to go a- whaling, to find out by experience what whaling is, but ye also want to go in order to see the world?
chapter-018	Now, art thou the man to pitch a harpoon down a live whale''s throat, and then jump after it?
chapter-018	Sure, ye''ve been to sea before now; sure of that?"
chapter-018	Think of that; by that sweet girl that old man has a child: hold ye then there can be any utter, hopeless harm in Ahab?
chapter-018	Was not that what ye said?
chapter-018	Was the other one lost by a whale?"
chapter-018	When that wicked king was slain, the dogs, did they not lick his blood?"
chapter-018	said Peleg when I came back; what did ye see?"
chapter-066	"And have you lived in this world hard upon one hundred years, cook, and do n''t know yet how to cook a whale- steak?"
chapter-066	"Come back, cook;--here, hand me those tongs;--now take that bit of steak there, and tell me if you think that steak cooked as it should be?
chapter-066	"Cook, cook!--where''s that old Fleece?"
chapter-066	"Cook,"said Stubb, rapidly lifting a rather reddish morsel to his mouth,"do n''t you think this steak is rather overdone?
chapter-066	"Cook,"said Stubb, squaring himself once more;"do you belong to the church?"
chapter-066	"Did n''t I say de Roanoke country?"
chapter-066	"Fetch him?
chapter-066	"So, then, you expect to go up into our main- top, do you, cook, when you are dead?
chapter-066	"Well then, cook; you see this whale- steak of yours was so very bad, that I have put it out of sight as soon as possible; you see that, do n''t you?
chapter-066	"Where do you expect to go to, cook?"
chapter-066	"Where were you born, cook?"
chapter-066	"Who dat?
chapter-066	And fetch him where?"
chapter-066	And yet you come here, and tell me such a dreadful lie as you did just now, eh?"
chapter-066	But I want to know what country you were born in, cook?"
chapter-066	But do n''t you know the higher you climb, the colder it gets?
chapter-066	D''ye hear?
chapter-066	Do n''t I always say that to be good, a whale- steak must be tough?
chapter-066	Do ye hear?
chapter-066	Hold the steak in one hand, and show a live coal to it with the other; that done, dish it; d''ye hear?
chapter-066	How old are you, cook?"
chapter-066	How you tink to hear,''spose you keep up such a dam slappin''and bitin''dare?"
chapter-066	How?
chapter-066	In a coach and four, as they fetched Elijah?
chapter-066	In the first place, how old are you, cook?"
chapter-066	Is not one shark dood right as toder to dat whale?
chapter-066	Main- top, eh?"
chapter-066	Now what''s your answer?"
chapter-066	There are those sharks now over the side, do n''t you see they prefer it tough and rare?
chapter-066	You hear?
chapter-056	"''Aye?
chapter-056	"''Better turn to, now?''
chapter-056	"''How?
chapter-056	"''Is that a friar passing?''
chapter-056	"''Is there a copy of the Holy Evangelists in the Golden Inn, gentlemen?''
chapter-056	"''Say ye so?
chapter-056	"''Shall we?''
chapter-056	"''Sink the ship?''
chapter-056	"''Then I entreat you, tell me if to the best of your own convictions, this story is in substance really true?
chapter-056	"''What are you making there?''
chapter-056	"''What do you think?
chapter-056	"''What do you want of me?''
chapter-056	"''Where are you bound?
chapter-056	"''Why not?
chapter-056	"''Will you be so good as to bring the priest also, Don?''
chapter-056	"''Will you promise not to touch us, if we do?''
chapter-056	****"''Are you through?''
chapter-056	Did you get it from an unquestionable source?
chapter-056	Do you think he wo n''t do me a turn, when it''s to help himself in the end, shipmate?''
chapter-056	Do you want to sink the ship, by knocking off at a time like this?
chapter-056	I go for it; but are you well advised?
chapter-056	Pardon: who and what are they?''
chapter-056	Pray, what is a Lakeman, and where is Buffalo?''
chapter-056	Shipmate, I have n''t enough twine,--have you any?''
chapter-056	Sir sailor, but do whales have christenings?
chapter-056	What say ye, men?''
chapter-056	Whom call you Moby Dick?''
chapter-056	and for what are you bound?''
chapter-056	what does it look like?''
chapter-056	what''s that pump stopping for?''
chapter-091	And concerning all these, is not Possession the whole of the law?
chapter-091	And what are you, reader, but a Loose- Fish and a Fast- Fish, too?
chapter-091	First: What is a Fast- Fish?
chapter-091	Is it not a saying in every one''s mouth, Possession is half of the law: that is, regardless of how the thing came into possession?
chapter-091	What Greece to the Turk?
chapter-091	What India to England?
chapter-091	What all men''s minds and opinions but Loose- Fish?
chapter-091	What are the Duke of Dunder''s hereditary towns and hamlets but Fast- Fish?
chapter-091	What are the Rights of Man and the Liberties of the World but Loose- Fish?
chapter-091	What are the sinews and souls of Russian serfs and Republican slaves but Fast- Fish, whereof possession is the whole of the law?
chapter-091	What at last will Mexico be to the United States?
chapter-091	What is the great globe itself but a Loose- Fish?
chapter-091	What is the principle of religious belief in them but a Loose- Fish?
chapter-091	What is yonder undetected villain''s marble mansion with a door- plate for a waif; what is that but a Fast- Fish?
chapter-091	What to that apostolic lancer, Brother Jonathan, is Texas but a Fast- Fish?
chapter-091	What to that redoubted harpooneer, John Bull, is poor Ireland, but a Fast- Fish?
chapter-091	What to the ostentatious smuggling verbalists are the thoughts of thinkers but Loose- Fish?
chapter-091	What to the rapacious landlord is the widow''s last mite but a Fast- Fish?
chapter-091	What was America in 1492 but a Loose- Fish, in which Columbus struck the Spanish standard by way of waifing it for his royal master and mistress?
chapter-091	What was Poland to the Czar?
chapter-075	"Am I the same man that helped kill this whale?
chapter-075	"And what will you do with the tail, Stubb?"
chapter-075	"Bargain?--about what?"
chapter-075	"Did n''t I tell you so?"
chapter-075	"Do I suppose it?
chapter-075	"Do with it?
chapter-075	"Do you see that mainmast there?"
chapter-075	"Do you suppose Fedallah wants to kidnap Captain Ahab?"
chapter-075	"He sleeps in his boots, do n''t he?
chapter-075	"How old do you suppose Fedallah is, Stubb?"
chapter-075	"Now, do you mean what you say, and have been saying all along, Stubb?"
chapter-075	"Suppose he should take it into his head to duck you, though-- yes, and drown you-- what then?"
chapter-075	"Three Spaniards?
chapter-075	"Wants with it?"
chapter-075	"What''s the old man have so much to do with him for?"
chapter-075	"Why not?"
chapter-075	''What for?''
chapter-075	Adventures of those three bloody- minded soldadoes?
chapter-075	And if the devil has a latch- key to get into the admiral''s cabin, do n''t you suppose he can crawl into a port- hole?
chapter-075	But look sharp-- aint you all ready there?
chapter-075	But now, tell me, Stubb, do you suppose that that devil you was speaking of just now, was the same you say is now on board the Pequod?"
chapter-075	Damn the devil, Flask; do you suppose I''m afraid of the devil?
chapter-075	Did ye read it there, Flask?
chapter-075	Did you ever notice how that tusk of his is a sort of carved into a snake''s head, Stubb?"
chapter-075	Did you ever see any parson a wearing mourning for the devil?
chapter-075	Do you believe that cock and bull story about his having been stowed away on board ship?
chapter-075	Does n''t the devil live for ever; who ever heard that the devil was dead?
chapter-075	Flask?"
chapter-075	I guess ye did?"
chapter-075	Sell it for an ox whip when we get home;--what else?"
chapter-075	Stubb, you are skylarking; how can Fedallah do that?"
chapter-137	"Cherries?
chapter-137	"D''ye see him?"
chapter-137	"Sir?"
chapter-137	"The ship?
chapter-137	"What breaks in me?
chapter-137	Am I cut off from the last fond pride of meanest shipwrecked captains?
chapter-137	But aye, old mast, we both grow old together; sound in our hulls, though, are we not, my ship?
chapter-137	But where?
chapter-137	Great God, where is the ship?"
chapter-137	How, got the start?
chapter-137	Is this the end of all my bursting prayers?
chapter-137	Is''t night?"
chapter-137	Strangest problems of life seem clearing; but clouds sweep between-- Is my journey''s end coming?
chapter-137	What d''ye see?"
chapter-137	What''s that he said?
chapter-137	What''s this?--green?
chapter-137	Where is the second hearse?
chapter-137	Who ever helped Stubb, or kept Stubb awake, but Stubb''s own unwinking eye?
chapter-137	Will I have eyes at the bottom of the sea, supposing I descend those endless stairs?
chapter-137	Will ye not save my ship?"
chapter-137	Ye are not other men, but my arms and my legs; and so obey me.--Where''s the whale?
chapter-137	all my life- long fidelities?
chapter-137	gone down again?"
chapter-137	he should still go before me, my pilot; and yet to be seen again?
chapter-137	he soars away with it!--Where''s the old man now?
chapter-137	must ye then perish, and without me?
chapter-137	who ever conquered it?
